no,query,category,lifestyle_category,sub_category,phase,intent,type,type_reason,language,is_new,phase_n,cluster
455,Japan eSIM Saily review,通信・eSIM,,esim_selection,pre,review,B,競合レビュークエリ,en,Y,pre,P2_比較
456,Japan eSIM unlimited data best,通信・eSIM,,esim_selection,pre,comparison,B,無制限データ比較クエリ,en,Y,pre,P1_おすすめHub
457,Japan eSIM 1GB plan,通信・eSIM,,esim_selection,pre,purchase,B,プラン別購入クエリ。yah.mobiの$1/dayプランに直結,en,Y,pre,C1_購入・価格
458,Japan eSIM 2GB plan,通信・eSIM,,esim_selection,pre,purchase,B,プラン別購入クエリ。yah.mobiの$2/dayプランに直結,en,Y,pre,C1_購入・価格
459,Japan eSIM 5GB plan,通信・eSIM,,esim_selection,pre,purchase,B,プラン別購入クエリ,en,Y,pre,C1_購入・価格
460,Japan eSIM 10GB plan,通信・eSIM,,esim_selection,pre,purchase,B,プラン別購入クエリ。yah.mobiの$5/dayプランに直結,en,Y,pre,C1_購入・価格
461,Japan eSIM 20GB plan,通信・eSIM,,esim_selection,pre,purchase,B,プラン別購入クエリ,en,Y,pre,C1_購入・価格
462,Japan eSIM 7 days plan,通信・eSIM,,esim_selection,pre,purchase,B,期間別購入クエリ,en,Y,pre,C1_購入・価格
463,Japan eSIM 14 days plan,通信・eSIM,,esim_selection,pre,purchase,B,期間別購入クエリ,en,Y,pre,C1_購入・価格
464,Japan eSIM 30 days plan,通信・eSIM,,esim_selection,pre,purchase,B,長期滞在向けプラン,en,Y,pre,C1_購入・価格
465,how to buy eSIM for Japan,通信・eSIM,,esim_purchase,pre,how_to,B,購入方法クエリ。購入フロー説明でyah.mobiへ誘導,en,Y,pre,C1_購入・価格
466,where to buy Japan eSIM online,通信・eSIM,,esim_purchase,pre,purchase,B,購入場所クエリ。直接CV,en,Y,pre,C4_機能・認証
467,Japan eSIM buy before arrival,通信・eSIM,,esim_purchase,pre,timing,B,購入タイミングクエリ,en,Y,pre,C1_購入・価格
468,Japan eSIM buy at airport,通信・eSIM,,esim_purchase,pre,purchase,A,空港購入vs事前購入の比較,en,Y,pre,C1_購入・価格
469,Japan eSIM no passport required,通信・eSIM,,esim_purchase,pre,requirement,B,書類不要の説明。購入障壁除去,en,Y,pre,C1_購入・価格
470,Japan eSIM payment methods,通信・eSIM,,esim_purchase,pre,payment,A,支払い方法クエリ,en,Y,pre,C10_一般知識
471,Japan eSIM PayPal,通信・eSIM,,esim_purchase,pre,payment,B,PayPal支払い可否クエリ,en,Y,pre,C1_購入・価格
472,Japan eSIM without credit card,通信・eSIM,,esim_purchase,pre,payment,B,クレジットカード不要クエリ,en,Y,pre,C1_購入・価格
473,Japan eSIM refund policy,通信・eSIM,,esim_purchase,pre,policy,A,返金ポリシークエリ,en,Y,pre,C10_一般知識
474,Japan eSIM cancel unused,通信・eSIM,,esim_purchase,pre,policy,A,未使用キャンセルクエリ,en,Y,pre,C10_一般知識
475,how much data do I need for Japan,通信・eSIM,,esim_data,pre,planning,B,データ量計算クエリ。購入直前の重要クエリ,en,Y,pre,C1_購入・価格
476,Japan eSIM how many GB for 7 days,通信・eSIM,,esim_data,pre,planning,B,期間別データ量クエリ,en,Y,pre,C1_購入・価格
477,Japan eSIM how many GB for 10 days,通信・eSIM,,esim_data,pre,planning,B,期間別データ量クエリ,en,Y,pre,C1_購入・価格
478,Japan eSIM how many GB for 2 weeks,通信・eSIM,,esim_data,pre,planning,B,期間別データ量クエリ,en,Y,pre,C1_購入・価格
479,Japan eSIM data usage per day,通信・eSIM,,esim_data,pre,planning,A,1日あたりデータ使用量の目安,en,Y,pre,C10_一般知識
480,is my phone compatible with Japan eSIM,通信・eSIM,,esim_compatibility,pre,check,B,互換性確認クエリ。購入前の重要ステップ,en,Y,pre,C1_購入・価格
481,Japan eSIM compatible phones list,通信・eSIM,,esim_compatibility,pre,check,A,対応端末リスト,en,Y,pre,C10_一般知識
482,Japan eSIM iPhone compatible,通信・eSIM,,esim_compatibility,pre,check,B,iPhone互換性クエリ,en,Y,pre,C2_設定・機種
483,Japan eSIM iPhone 13 compatible,通信・eSIM,,esim_compatibility,pre,check,B,機種別互換性クエリ,en,Y,pre,C2_設定・機種
484,Japan eSIM iPhone 14 compatible,通信・eSIM,,esim_compatibility,pre,check,B,機種別互換性クエリ,en,Y,pre,C2_設定・機種
485,Japan eSIM iPhone 15 compatible,通信・eSIM,,esim_compatibility,pre,check,B,機種別互換性クエリ,en,Y,pre,C2_設定・機種
486,Japan eSIM iPhone 16 compatible,通信・eSIM,,esim_compatibility,pre,check,B,機種別互換性クエリ,en,Y,pre,C2_設定・機種
487,Japan eSIM Android compatible,通信・eSIM,,esim_compatibility,pre,check,B,Android互換性クエリ,en,Y,pre,C2_設定・機種
488,Japan eSIM Samsung Galaxy compatible,通信・eSIM,,esim_compatibility,pre,check,B,Samsung互換性クエリ,en,Y,pre,C2_設定・機種
489,Japan eSIM Google Pixel compatible,通信・eSIM,,esim_compatibility,pre,check,B,Pixel互換性クエリ,en,Y,pre,C2_設定・機種
490,Japan eSIM locked phone,通信・eSIM,,esim_compatibility,pre,check,B,SIMロック端末クエリ,en,Y,pre,C1_購入・価格
491,how to check if phone supports eSIM,通信・eSIM,,esim_compatibility,pre,how_to,A,eSIM対応確認方法,en,Y,pre,C10_一般知識
492,Japan eSIM carrier unlocked requirement,通信・eSIM,,esim_compatibility,pre,requirement,A,SIMフリー要件クエリ,en,Y,pre,C10_一般知識
493,how to install Japan eSIM,通信・eSIM,,esim_setup,pre,how_to,B,インストール方法クエリ。購入後の次ステップ,en,Y,pre,C2_設定・機種
494,how to activate Japan eSIM,通信・eSIM,,esim_setup,pre,how_to,B,アクティベーション方法クエリ,en,Y,pre,C2_設定・機種
495,Japan eSIM QR code activation,通信・eSIM,,esim_setup,pre,how_to,B,QRコード設定クエリ,en,Y,pre,C1_購入・価格
496,Japan eSIM manual installation,通信・eSIM,,esim_setup,pre,how_to,A,手動インストール方法,en,Y,pre,C2_設定・機種
497,Japan eSIM setup iPhone step by step,通信・eSIM,,esim_setup,pre,how_to,B,iPhone設定手順クエリ,en,Y,pre,C2_設定・機種
498,Japan eSIM setup Android step by step,通信・eSIM,,esim_setup,pre,how_to,B,Android設定手順クエリ,en,Y,pre,C2_設定・機種
499,Japan eSIM setup Samsung,通信・eSIM,,esim_setup,pre,how_to,B,Samsung設定クエリ,en,Y,pre,C2_設定・機種
500,Japan eSIM setup Google Pixel,通信・eSIM,,esim_setup,pre,how_to,B,Pixel設定クエリ,en,Y,pre,C2_設定・機種
501,when to activate Japan eSIM before or after arrival,通信・eSIM,,esim_setup,pre,timing,B,アクティベーションタイミングクエリ,en,Y,pre,C2_設定・機種
502,Japan eSIM install before departure,通信・eSIM,,esim_setup,pre,timing,B,出発前インストールクエリ,en,Y,pre,C2_設定・機種
503,Japan eSIM activate on arrival,通信・eSIM,,esim_setup,during,timing,B,到着後アクティベーションクエリ,en,Y,during,C2_設定・機種
504,Japan eSIM APN settings,通信・eSIM,,esim_setup,pre,technical,A,APN設定クエリ,en,Y,pre,C2_設定・機種
505,Japan eSIM data roaming settings,通信・eSIM,,esim_setup,pre,technical,B,データローミング設定クエリ,en,Y,pre,P2_比較
506,Japan eSIM set as default data line,通信・eSIM,,esim_setup,pre,technical,A,デフォルトデータ回線設定クエリ,en,Y,pre,C4_機能・認証
507,Japan eSIM not working fix,通信・eSIM,,esim_troubleshoot,during,problem,B,トラブル解決クエリ。旅行中の緊急ニーズ,en,Y,during,C3_トラブル
508,Japan eSIM no internet connection,通信・eSIM,,esim_troubleshoot,during,problem,B,インターネット接続不可クエリ,en,Y,during,C1_購入・価格
509,Japan eSIM not connecting to network,通信・eSIM,,esim_troubleshoot,during,problem,B,ネットワーク接続不可クエリ,en,Y,during,C1_購入・価格
510,Japan eSIM activation failed,通信・eSIM,,esim_troubleshoot,during,problem,B,アクティベーション失敗クエリ,en,Y,during,C1_購入・価格
511,Japan eSIM QR code not scanning,通信・eSIM,,esim_troubleshoot,during,problem,B,QRコードスキャン失敗クエリ,en,Y,during,C1_購入・価格
512,Japan eSIM stuck on activating,通信・eSIM,,esim_troubleshoot,during,problem,A,アクティベーション中断クエリ,en,Y,during,C10_一般知識
513,Japan eSIM hotspot not working,通信・eSIM,,esim_troubleshoot,during,problem,B,ホットスポット不具合クエリ,en,Y,during,C3_トラブル
514,Japan eSIM slow speed fix,通信・eSIM,,esim_troubleshoot,during,problem,B,速度低下クエリ,en,Y,during,C3_トラブル
515,Japan eSIM data not working after setup,通信・eSIM,,esim_troubleshoot,during,problem,B,設定後データ不通クエリ,en,Y,during,C2_設定・機種
516,Japan eSIM error message fix,通信・eSIM,,esim_troubleshoot,during,problem,A,エラーメッセージ解決クエリ,en,Y,during,C3_トラブル
517,Japan eSIM airplane mode fix,通信・eSIM,,esim_troubleshoot,during,problem,A,機内モードリセット手順,en,Y,during,C3_トラブル
518,Japan eSIM restart phone fix,通信・eSIM,,esim_troubleshoot,during,problem,A,再起動による修復手順,en,Y,during,C3_トラブル
519,Japan eSIM too many eSIMs installed error,通信・eSIM,,esim_troubleshoot,during,problem,A,eSIM上限エラークエリ,en,Y,during,C2_設定・機種
520,Japan eSIM data roaming must enable,通信・eSIM,,esim_troubleshoot,during,technical,B,データローミング有効化クエリ,en,Y,during,P2_比較
521,Japan eSIM dual SIM setup,通信・eSIM,,esim_usage,pre,how_to,B,デュアルSIM設定クエリ,en,Y,pre,C2_設定・機種
522,Japan eSIM keep home SIM active,通信・eSIM,,esim_usage,pre,how_to,A,ホームSIM維持クエリ,en,Y,pre,C10_一般知識
523,Japan eSIM switch between SIMs,通信・eSIM,,esim_usage,during,how_to,A,SIM切り替えクエリ,en,Y,during,C10_一般知識
524,Japan eSIM avoid roaming charges,通信・eSIM,,esim_usage,pre,how_to,B,ローミング課金回避クエリ,en,Y,pre,P2_比較
525,Japan eSIM hotspot tethering,通信・eSIM,,esim_usage,during,feature,B,ホットスポット利用クエリ,en,Y,during,C4_機能・認証
526,Japan eSIM share data with friends,通信・eSIM,,esim_usage,during,feature,B,データシェアクエリ,en,Y,during,C1_購入・価格
527,Japan eSIM family plan,通信・eSIM,,esim_usage,pre,purchase,B,ファミリープランクエリ,en,Y,pre,C1_購入・価格
528,Japan eSIM for 2 people,通信・eSIM,,esim_usage,pre,purchase,B,2人用プランクエリ,en,Y,pre,C1_購入・価格
529,Japan eSIM for group travel,通信・eSIM,,esim_usage,pre,purchase,B,グループ旅行クエリ,en,Y,pre,C1_購入・価格
530,Japan eSIM check data remaining,通信・eSIM,,esim_usage,during,how_to,A,残データ確認クエリ,en,Y,during,C10_一般知識
531,Japan eSIM top up data,通信・eSIM,,esim_usage,during,purchase,B,データ追加購入クエリ,en,Y,during,C1_購入・価格
532,Japan eSIM run out of data what to do,通信・eSIM,,esim_usage,during,problem,B,データ切れ対処クエリ,en,Y,during,C1_購入・価格
533,Japan eSIM phone number included,通信・eSIM,,esim_usage,pre,feature,A,電話番号付きクエリ,en,Y,pre,C10_一般知識
534,Japan eSIM data only no calls,通信・eSIM,,esim_usage,pre,feature,A,データのみプランクエリ,en,Y,pre,C10_一般知識
535,Japan eSIM receive calls home number,通信・eSIM,,esim_usage,during,feature,A,自国番号着信クエリ,en,Y,during,C10_一般知識
536,Japan eSIM SMS text messages,通信・eSIM,,esim_usage,during,feature,A,SMS受信クエリ,en,Y,during,C4_機能・認証
537,Japan eSIM WhatsApp calls,通信・eSIM,,esim_usage,during,feature,A,WhatsApp通話クエリ,en,Y,during,C4_機能・認証
538,Japan eSIM LINE calls,通信・eSIM,,esim_usage,during,feature,A,LINE通話クエリ,en,Y,during,C4_機能・認証
539,Japan eSIM ChatGPT available,通信・eSIM,,esim_features,pre,feature,B,ChatGPT利用可否。yah.mobiのJP IP差別化ポイント,en,Y,pre,P3_JPIP差別化
540,Japan eSIM Instagram available,通信・eSIM,,esim_features,pre,feature,B,Instagram利用可否。JP IP差別化ポイント,en,Y,pre,P3_JPIP差別化
541,Japan eSIM TikTok available,通信・eSIM,,esim_features,pre,feature,B,TikTok利用可否。JP IP差別化ポイント,en,Y,pre,P3_JPIP差別化
542,Japan eSIM local IP address,通信・eSIM,,esim_features,pre,feature,B,ローカルIPアドレスクエリ。差別化ポイント,en,Y,pre,P3_JPIP差別化
543,Japan eSIM Japan IP vs Hong Kong IP,通信・eSIM,,esim_features,pre,comparison,B,JP IP vs HK IP比較。yah.mobiの強み,en,Y,pre,P3_JPIP差別化
544,Japan eSIM local breakout IP,通信・eSIM,,esim_features,pre,technical,B,ローカルブレイクアウトIPクエリ,en,Y,pre,P3_JPIP差別化
545,Japan eSIM roaming IP problems,通信・eSIM,,esim_features,pre,problem,B,ローミングIP問題クエリ,en,Y,pre,P3_JPIP差別化
546,Japan eSIM 5G available,通信・eSIM,,esim_features,pre,feature,B,5G対応クエリ,en,Y,pre,C1_購入・価格
547,Japan eSIM 5G vs 4G LTE,通信・eSIM,,esim_features,pre,comparison,A,5G vs 4G比較クエリ,en,Y,pre,P2_比較
548,Japan eSIM hotspot allowed,通信・eSIM,,esim_features,pre,feature,B,ホットスポット許可クエリ,en,Y,pre,C4_機能・認証
549,Japan eSIM VPN compatible,通信・eSIM,,esim_features,during,feature,A,VPN互換性クエリ,en,Y,during,P3_JPIP差別化
550,Japan eSIM privacy tracking,通信・eSIM,,esim_features,pre,concern,A,プライバシー・追跡クエリ,en,Y,pre,C10_一般知識
551,Japan eSIM Docomo network,通信・eSIM,,esim_network,pre,comparison,B,Docomo回線クエリ,en,Y,pre,C6_回線・実測
552,Japan eSIM SoftBank network,通信・eSIM,,esim_network,pre,comparison,B,SoftBank回線クエリ,en,Y,pre,C6_回線・実測
553,Japan eSIM KDDI au network,通信・eSIM,,esim_network,pre,comparison,B,KDDI回線クエリ,en,Y,pre,C6_回線・実測
554,Japan eSIM Docomo vs SoftBank vs KDDI,通信・eSIM,,esim_network,pre,comparison,A,キャリア比較クエリ,en,Y,pre,P2_比較
555,Japan eSIM best network coverage,通信・eSIM,,esim_network,pre,comparison,B,最良カバレッジクエリ,en,Y,pre,P1_おすすめHub
556,Japan eSIM rural coverage,通信・eSIM,,esim_network,pre,coverage,B,地方カバレッジクエリ,en,Y,pre,C6_回線・実測
557,Japan eSIM Mount Fuji coverage,通信・eSIM,,esim_network,during,coverage,B,富士山エリアカバレッジ,en,Y,during,C6_回線・実測
558,Japan eSIM Hokkaido coverage,通信・eSIM,,esim_network,pre,coverage,B,北海道カバレッジ,en,Y,pre,C6_回線・実測
559,Japan eSIM Kyoto coverage,通信・eSIM,,esim_network,pre,coverage,B,京都カバレッジ,en,Y,pre,C6_回線・実測
560,Japan eSIM Osaka coverage,通信・eSIM,,esim_network,pre,coverage,B,大阪カバレッジ,en,Y,pre,C6_回線・実測
561,Japan eSIM Tokyo subway underground,通信・eSIM,,esim_network,during,coverage,B,東京地下鉄カバレッジ,en,Y,during,C1_購入・価格
562,Japan eSIM Shinkansen bullet train,通信・eSIM,,esim_network,during,coverage,B,新幹線カバレッジ,en,Y,during,C1_購入・価格
563,Japan eSIM Shinkansen internet speed,通信・eSIM,,esim_network,during,coverage,A,新幹線通信速度クエリ,en,Y,during,C6_回線・実測
564,Japan eSIM signal strength test,通信・eSIM,,esim_network,during,technical,A,電波強度テストクエリ,en,Y,during,C10_一般知識
565,Japan eSIM speed test results,通信・eSIM,,esim_speed,pre,comparison,B,速度テスト結果クエリ,en,Y,pre,C6_回線・実測
566,Japan eSIM unlimited data throttle,通信・eSIM,,esim_speed,pre,concern,B,無制限データ速度制限クエリ,en,Y,pre,C5_容量・プラン
567,Japan eSIM fair use policy,通信・eSIM,,esim_speed,pre,policy,A,フェアユースポリシークエリ,en,Y,pre,C10_一般知識
568,Japan eSIM speed after daily limit,通信・eSIM,,esim_speed,during,concern,B,日次上限後速度クエリ,en,Y,during,C6_回線・実測
569,Japan eSIM 1Mbps throttle,通信・eSIM,,esim_speed,during,concern,A,1Mbps制限クエリ,en,Y,during,C10_一般知識
570,Japan eSIM truly unlimited no throttle,通信・eSIM,,esim_speed,pre,comparison,B,真の無制限クエリ,en,Y,pre,C5_容量・プラン
571,Japan eSIM streaming video quality,通信・eSIM,,esim_speed,during,feature,B,動画ストリーミング品質クエリ,en,Y,during,C1_購入・価格
572,Japan eSIM video call quality,通信・eSIM,,esim_speed,during,feature,B,ビデオ通話品質クエリ,en,Y,during,C1_購入・価格
573,Japan eSIM Zoom meeting,通信・eSIM,,esim_speed,during,feature,B,Zoomミーティングクエリ,en,Y,during,C1_購入・価格
574,Japan eSIM Google Maps navigation,通信・eSIM,,esim_speed,during,feature,B,Googleマップナビクエリ,en,Y,during,C1_購入・価格
575,Japan eSIM transfer to new phone,通信・eSIM,,esim_management,post,how_to,A,新端末への転送クエリ,en,Y,post,C10_一般知識
576,Japan eSIM lost phone,通信・eSIM,,esim_management,during,problem,B,端末紛失時クエリ,en,Y,during,C1_購入・価格
577,Japan eSIM delete after trip,通信・eSIM,,esim_management,post,how_to,A,旅行後削除クエリ,en,Y,post,C8_帰国・LC
578,Japan eSIM delete from iPhone,通信・eSIM,,esim_management,post,how_to,A,iPhone削除手順クエリ,en,Y,post,C2_設定・機種
579,Japan eSIM delete from Android,通信・eSIM,,esim_management,post,how_to,A,Android削除手順クエリ,en,Y,post,C2_設定・機種
580,Japan eSIM expired remove,通信・eSIM,,esim_management,post,how_to,A,期限切れ削除クエリ,en,Y,post,C8_帰国・LC
581,Japan eSIM reuse same eSIM next trip,通信・eSIM,,esim_management,post,feature,B,再利用クエリ,en,Y,post,C1_購入・価格
582,Japan eSIM multiple trips,通信・eSIM,,esim_management,pre,feature,B,複数回旅行クエリ,en,Y,pre,C1_購入・価格
583,Japan eSIM reinstall after delete,通信・eSIM,,esim_management,post,problem,A,削除後再インストールクエリ,en,Y,post,C2_設定・機種
584,Japan eSIM maximum eSIMs on phone,通信・eSIM,,esim_management,pre,technical,A,端末eSIM上限クエリ,en,Y,pre,C10_一般知識
585,Japan eSIM vs pocket WiFi,通信・eSIM,,esim_comparison,pre,comparison,B,eSIM vs ポケットWiFi比較クエリ,en,Y,pre,P2_比較
586,Japan eSIM vs physical SIM card,通信・eSIM,,esim_comparison,pre,comparison,B,eSIM vs 物理SIM比較クエリ,en,Y,pre,P2_比較
587,Japan eSIM vs roaming plan,通信・eSIM,,esim_comparison,pre,comparison,B,eSIM vs ローミングプラン比較クエリ,en,Y,pre,P2_比較
588,Japan eSIM vs T-Mobile international,通信・eSIM,,esim_comparison,pre,comparison,B,T-Mobile比較クエリ,en,Y,pre,P2_比較
589,Japan eSIM vs AT&T international plan,通信・eSIM,,esim_comparison,pre,comparison,B,AT&T比較クエリ,en,Y,pre,P2_比較
590,Japan eSIM vs Verizon international,通信・eSIM,,esim_comparison,pre,comparison,B,Verizon比較クエリ,en,Y,pre,P2_比較
591,Japan eSIM vs pocket wifi for family,通信・eSIM,,esim_comparison,pre,comparison,B,ファミリー向け比較クエリ,en,Y,pre,P2_比較
592,Japan eSIM for solo traveler,通信・eSIM,,esim_comparison,pre,recommendation,B,ソロ旅行者向けクエリ,en,Y,pre,C1_購入・価格
593,Japan eSIM for business travel,通信・eSIM,,esim_comparison,pre,recommendation,B,ビジネス旅行者向けクエリ,en,Y,pre,C1_購入・価格
594,Japan eSIM for digital nomad,通信・eSIM,,esim_comparison,pre,recommendation,B,デジタルノマド向けクエリ,en,Y,pre,P2_比較
595,Japan eSIM for cruise ship,通信・eSIM,,esim_comparison,pre,recommendation,A,クルーズ旅行者向けクエリ,en,Y,pre,C10_一般知識
596,Japan eSIM short trip 3 days,通信・eSIM,,esim_travel_style,pre,recommendation,B,短期旅行向けクエリ,en,Y,pre,C1_購入・価格
597,Japan eSIM long stay 30 days,通信・eSIM,,esim_travel_style,pre,recommendation,B,長期滞在向けクエリ,en,Y,pre,C1_購入・価格
598,Japan eSIM 60 days 90 days,通信・eSIM,,esim_travel_style,pre,recommendation,B,超長期滞在クエリ,en,Y,pre,C1_購入・価格
599,Japan eSIM first time traveler,通信・eSIM,,esim_travel_style,pre,recommendation,B,初訪問者向けクエリ,en,Y,pre,C1_購入・価格
600,Japan eSIM for seniors elderly,通信・eSIM,,esim_travel_style,pre,recommendation,B,シニア向けクエリ,en,Y,pre,C1_購入・価格
601,Japan eSIM easy setup non-tech,通信・eSIM,,esim_travel_style,pre,recommendation,B,非技術者向けクエリ,en,Y,pre,C2_設定・機種
602,Japan eSIM for students,通信・eSIM,,esim_travel_style,pre,recommendation,B,学生向けクエリ,en,Y,pre,C1_購入・価格
603,Japan eSIM work remotely,通信・eSIM,,esim_travel_style,pre,recommendation,B,リモートワーク向けクエリ,en,Y,pre,C1_購入・価格
604,일본 eSIM 추천 2025,通信・eSIM,,esim_korean,pre,comparison,B,韓国語：日本eSIM推薦クエリ,ko,Y,pre,C1_購入・価格
605,일본 eSIM 설치 방법,通信・eSIM,,esim_korean,pre,how_to,B,韓国語：インストール方法クエリ,ko,Y,pre,C1_購入・価格
606,일본 eSIM 가격 비교,通信・eSIM,,esim_korean,pre,price,B,韓国語：価格比較クエリ,ko,Y,pre,C1_購入・価格
607,일본 eSIM 아이폰 설정,通信・eSIM,,esim_korean,pre,how_to,B,韓国語：iPhone設定クエリ,ko,Y,pre,C1_購入・価格
608,일본 eSIM 무제한 데이터,通信・eSIM,,esim_korean,pre,comparison,B,韓国語：無制限データクエリ,ko,Y,pre,C1_購入・価格
609,일본 eSIM 핫스팟 가능,通信・eSIM,,esim_korean,pre,feature,B,韓国語：ホットスポット可否クエリ,ko,Y,pre,C1_購入・価格
610,일본 eSIM 안되는 이유,通信・eSIM,,esim_korean,during,problem,B,韓国語：接続不可クエリ,ko,Y,during,C1_購入・価格
611,일본 eSIM 데이터 로밍,通信・eSIM,,esim_korean,pre,technical,B,韓国語：データローミングクエリ,ko,Y,pre,C1_購入・価格
612,일본 eSIM 에어알로 vs 홀라플라이,通信・eSIM,,esim_korean,pre,comparison,B,韓国語：Airalo vs Holafly比較,ko,Y,pre,P2_比較
613,일본 eSIM 도코모 소프트뱅크,通信・eSIM,,esim_korean,pre,comparison,B,韓国語：Docomo vs SoftBank比較,ko,Y,pre,C1_購入・価格
614,일본 eSIM 유심 차이,通信・eSIM,,esim_korean,pre,comparison,A,韓国語：eSIM vs 物理SIM比較,ko,Y,pre,C10_一般知識
615,일본 여행 eSIM 얼마나 필요,通信・eSIM,,esim_korean,pre,planning,B,韓国語：必要データ量クエリ,ko,Y,pre,C1_購入・価格
616,일본 eSIM 삼성 갤럭시,通信・eSIM,,esim_korean,pre,compatibility,B,韓国語：Samsung互換性クエリ,ko,Y,pre,C1_購入・価格
617,일본 eSIM 챗GPT 사용 가능,通信・eSIM,,esim_korean,pre,feature,B,韓国語：ChatGPT利用可否クエリ,ko,Y,pre,C1_購入・価格
618,일본 eSIM 틱톡 인스타그램,通信・eSIM,,esim_korean,pre,feature,B,韓国語：TikTok/Instagram利用クエリ,ko,Y,pre,C1_購入・価格
619,日本eSIM推薦 2025,通信・eSIM,,esim_traditional_chinese,pre,comparison,B,繁体字：日本eSIM推薦クエリ,zh-TW,Y,pre,C1_購入・価格
620,日本eSIM怎麼設定,通信・eSIM,,esim_traditional_chinese,pre,how_to,B,繁体字：設定方法クエリ,zh-TW,Y,pre,C2_設定・機種
621,日本eSIM價格比較,通信・eSIM,,esim_traditional_chinese,pre,price,B,繁体字：価格比較クエリ,zh-TW,Y,pre,P2_比較
622,日本eSIM iPhone設定,通信・eSIM,,esim_traditional_chinese,pre,how_to,B,繁体字：iPhone設定クエリ,zh-TW,Y,pre,C2_設定・機種
623,日本eSIM吃到飽,通信・eSIM,,esim_traditional_chinese,pre,comparison,B,繁体字：無制限データクエリ,zh-TW,Y,pre,C1_購入・価格
624,日本eSIM熱點分享,通信・eSIM,,esim_traditional_chinese,pre,feature,B,繁体字：ホットスポットクエリ,zh-TW,Y,pre,C1_購入・価格
625,日本eSIM連不上網,通信・eSIM,,esim_traditional_chinese,during,problem,B,繁体字：接続不可クエリ,zh-TW,Y,during,C1_購入・価格
626,日本eSIM不能用怎麼辦,通信・eSIM,,esim_traditional_chinese,during,problem,B,繁体字：使えない場合クエリ,zh-TW,Y,during,C1_購入・価格
627,日本eSIM Airalo評價,通信・eSIM,,esim_traditional_chinese,pre,review,B,繁体字：Airaloレビュークエリ,zh-TW,Y,pre,P2_比較
628,日本eSIM本地IP,通信・eSIM,,esim_traditional_chinese,pre,feature,B,繁体字：ローカルIPクエリ,zh-TW,Y,pre,C1_購入・価格
629,日本eSIM ChatGPT可以用嗎,通信・eSIM,,esim_traditional_chinese,pre,feature,B,繁体字：ChatGPT利用可否クエリ,zh-TW,Y,pre,P3_JPIP差別化
630,日本eSIM幾GB夠用,通信・eSIM,,esim_traditional_chinese,pre,planning,B,繁体字：必要GB数クエリ,zh-TW,Y,pre,C1_購入・価格
631,日本eSIM docomo還是softbank,通信・eSIM,,esim_traditional_chinese,pre,comparison,B,繁体字：Docomo vs SoftBank比較,zh-TW,Y,pre,C6_回線・実測
632,日本eSIM不要中資廠商,通信・eSIM,,esim_traditional_chinese,pre,concern,B,繁体字：中国系ブランド回避クエリ,zh-TW,Y,pre,C1_購入・価格
633,日本eSIM原生網路,通信・eSIM,,esim_traditional_chinese,pre,feature,B,繁体字：ネイティブネットワーククエリ,zh-TW,Y,pre,C1_購入・価格
634,日本eSIM推荐 2025,通信・eSIM,,esim_simplified_chinese,pre,comparison,B,簡体字：日本eSIM推薦クエリ,zh-CN,Y,pre,C1_購入・価格
635,日本eSIM怎么设置,通信・eSIM,,esim_simplified_chinese,pre,how_to,B,簡体字：設定方法クエリ,zh-CN,Y,pre,C1_購入・価格
636,日本eSIM价格对比,通信・eSIM,,esim_simplified_chinese,pre,price,B,簡体字：価格比較クエリ,zh-CN,Y,pre,C1_購入・価格
637,日本eSIM无限流量,通信・eSIM,,esim_simplified_chinese,pre,comparison,B,簡体字：無制限データクエリ,zh-CN,Y,pre,C1_購入・価格
638,日本eSIM连不上网怎么办,通信・eSIM,,esim_simplified_chinese,during,problem,B,簡体字：接続不可クエリ,zh-CN,Y,during,C1_購入・価格
639,日本eSIM热点共享,通信・eSIM,,esim_simplified_chinese,pre,feature,B,簡体字：ホットスポットクエリ,zh-CN,Y,pre,C1_購入・価格
640,日本eSIM ChatGPT能用吗,通信・eSIM,,esim_simplified_chinese,pre,feature,B,簡体字：ChatGPT利用可否クエリ,zh-CN,Y,pre,P3_JPIP差別化
641,日本eSIM抖音TikTok,通信・eSIM,,esim_simplified_chinese,pre,feature,B,簡体字：TikTok利用クエリ,zh-CN,Y,pre,P3_JPIP差別化
642,日本eSIM本地IP地址,通信・eSIM,,esim_simplified_chinese,pre,feature,B,簡体字：ローカルIPクエリ,zh-CN,Y,pre,C1_購入・価格
643,日本eSIM多少GB够用,通信・eSIM,,esim_simplified_chinese,pre,planning,B,簡体字：必要GB数クエリ,zh-CN,Y,pre,C1_購入・価格
644,eSIM ญี่ปุ่น แนะนำ 2025,通信・eSIM,,esim_thai,pre,comparison,B,タイ語：日本eSIM推薦クエリ,th,Y,pre,C1_購入・価格
645,eSIM ญี่ปุ่น วิธีติดตั้ง,通信・eSIM,,esim_thai,pre,how_to,B,タイ語：インストール方法クエリ,th,Y,pre,C1_購入・価格
646,eSIM ญี่ปุ่น ราคาเปรียบเทียบ,通信・eSIM,,esim_thai,pre,price,B,タイ語：価格比較クエリ,th,Y,pre,C1_購入・価格
647,eSIM ญี่ปุ่น ใช้ไม่ได้ แก้ยังไง,通信・eSIM,,esim_thai,during,problem,B,タイ語：接続不可クエリ,th,Y,during,C1_購入・価格
